name,lat,lng
สวนดุสิต,13.770474764297123,100.51634987841794
อนุเสาวรีย์ชัยสรมภูมิ,13.765222794542401,100.53832253466794
สยามพารากอน,13.750133146041723,100.53308686267087
สวนลุมพินี,13.730623540452402,100.54063996325681
เซ็นทรัลเอ็มบาสซี,13.744297109538817,100.54681977282712
โรงพยาบาลบีเอนเอช,13.725870954674889,100.53523262988278
มหาวิทยาลัยราชภัฎบ้านสมเด็จเจ้าพระยา,13.731290562327816,100.4893990422363
เดอะมอลทล์่าพระ,13.714614446424958,100.48347672473142
เอเชียทีค,13.704774982327656,100.50321778308103
เซ็นทรัลพระราม3,13.697937145937434,100.53712090502927
มหาวิทยาลัยกรุงเทพกล้วยนำ้ไท,13.712279695638303,100.58183869372556
เอ็มควอเทียร์,13.733291616568994,100.56982239733884
โรงพยาบาลปิยะเวท,13.754635131960441,100.57926377307126
เซ็นทรัลพระราม9,13.758970295822737,100.56604584704587
มหาวิทยาลัยรามคำแหง,13.75655261818859,100.618660059082
มหาวิทยาลัยหอการค้าไทย,13.780394829677192,100.56020936022946
ตลาดนัดจตุจักร,13.8017340463779,100.5538578892822
MRT วัดมังกร,13.742004341128201,100.51029881488034
MRT หัวลำโพง,13.737877301449398,100.51707943926999
BTS วงเวียนใหญ่,13.720909819435022,100.49549302111814
BTS ศาลาแดง,13.728372327615464,100.53394516955564
BTS เพลินจิต,13.742921451185202,100.54887970935056
โรงพยาบาลลาดพร้าว,13.779102744174741,100.62338074694821
waterside resort restaurant,13.82994716138427,100.63084801684568
สนามกอล์ฟฟนวธานี,13.803692822000707,100.67445000659177
สวนสยามทะเลกรุงเทพ,13.806776818359168,100.6926461125488
เดอะมอลล์บางกะปิ,13.766848416833499,100.64269265185544
BTS อุดมุสข,13.680007728250514,100.6093474293823
Bitec Bangna,13.670208515741392,100.60827454577634
เซ็นทรัลบางนา,13.66887412334919,100.63471039782712
โรงพยาบาลศิครินทร์,13.654904249401724,100.64608296405027
ศูนย์การค้า พาราไดซ์ พาร์ค,13.687971894098595,100.64767083178708
